,Address,Area,Beds,Full Baths,Half Baths,Locality,Lot Size,Price
0,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900"
1,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,"$396,900"
2,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900"
3,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000"
4,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,"$252,900"
5,1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000"
6,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000"
7,1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900"
8,4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres,"$196,900"
9,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900"
10,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,"$396,900"
11,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900"
12,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000"
13,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,"$252,900"
14,1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000"
15,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000"
16,1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900"
17,4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres,"$196,900"
18,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900"
19,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,"$396,900"
20,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900"
21,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000"
22,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,"$252,900"
23,1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000"
24,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000"
25,1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900"
26,4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres,"$196,900"
